description,department
Dirty water coming from taps in residential block A,water_dept
Very low water pressure in hospital lane,water_dept
Water pipe damaged near railway colony,water_dept
Tanker water not arriving at bus stop,water_dept
Water line blockage at sector 5,water_dept
Water leakage reported near hospital lane,water_dept
No water supply in the school road area,water_dept
Tanker water not arriving at sector 5,water_dept
Water line blockage at railway colony,water_dept
Dirty water coming from taps in highway point,water_dept
Very low water pressure in sector 5,water_dept
Water leakage reported near hospital lane,water_dept
Water pipe damaged near hospital lane,water_dept
Tanker water not arriving at green park,water_dept
Dirty water coming from taps in sector 5,water_dept
Pipeline burst causing flooding at hospital lane,water_dept
Water pipe damaged near green park,water_dept
Water tank overflowing in market area,water_dept
Tanker water not arriving at sector 5,water_dept
Water leakage reported near bus stop,water_dept
Water leakage reported near bus stop,water_dept
Very low water pressure in hospital lane,water_dept
Water line blockage at highway point,water_dept
Dirty water coming from taps in green park,water_dept
No water supply in the main road area,water_dept
Tanker water not arriving at main road,water_dept
Dirty water coming from taps in railway colony,water_dept
No water supply in the hospital lane area,water_dept
Water leakage reported near bus stop,water_dept
Water tank overflowing in green park,water_dept
Water line blockage at market area,water_dept
Water line blockage at hospital lane,water_dept
Water leakage reported near school road,water_dept
Water pipe damaged near hospital lane,water_dept
Water pipe damaged near residential block A,water_dept
Water tank overflowing in residential block A,water_dept
Water line blockage at bus stop,water_dept
Water line blockage at residential block A,water_dept
No water supply in the school road area,water_dept
Water tank overflowing in school road,water_dept
Water line blockage at residential block A,water_dept
Very low water pressure in market area,water_dept
Very low water pressure in highway point,water_dept
Pipeline burst causing flooding at sector 5,water_dept
Very low water pressure in market area,water_dept
Water tank overflowing in hospital lane,water_dept
Water tank overflowing in main road,water_dept
Dirty water coming from taps in sector 5,water_dept
No water supply in the highway point area,water_dept
Very low water pressure in sector 5,water_dept
Water tank overflowing in highway point,water_dept
Water pipe damaged near residential block A,water_dept
Water tank overflowing in green park,water_dept
Water line blockage at green park,water_dept
No water supply in the main road area,water_dept
No water supply in the school road area,water_dept
Dirty water coming from taps in sector 5,water_dept
Water line blockage at bus stop,water_dept
Dirty water coming from taps in green park,water_dept
Pipeline burst causing flooding at market area,water_dept
Dirty water coming from taps in sector 5,water_dept
Dirty water coming from taps in residential block A,water_dept
Tanker water not arriving at hospital lane,water_dept
Water pipe damaged near sector 5,water_dept
Very low water pressure in green park,water_dept
Water pipe damaged near sector 5,water_dept
Very low water pressure in hospital lane,water_dept
Very low water pressure in sector 5,water_dept
Very low water pressure in bus stop,water_dept
Dirty water coming from taps in green park,water_dept
Pipeline burst causing flooding at hospital lane,water_dept
Water line blockage at green park,water_dept
Pipeline burst causing flooding at hospital lane,water_dept
No water supply in the main road area,water_dept
Water pipe damaged near railway colony,water_dept
Water tank overflowing in school road,water_dept
Water line blockage at green park,water_dept
Water leakage reported near hospital lane,water_dept
Dirty water coming from taps in highway point,water_dept
Water supply stopped since morning in green park,water_dept
Water pipe damaged near residential block A,water_dept
No water supply in the residential block A area,water_dept
Water line blockage at hospital lane,water_dept
Water pipe damaged near green park,water_dept
Water leakage reported near market area,water_dept
Water supply stopped since morning in sector 5,water_dept
Tanker water not arriving at sector 5,water_dept
Tanker water not arriving at highway point,water_dept
Tanker water not arriving at green park,water_dept
Dirty water coming from taps in highway point,water_dept
Water pipe damaged near highway point,water_dept
Water supply stopped since morning in sector 5,water_dept
No water supply in the main road area,water_dept
Pipeline burst causing flooding at sector 5,water_dept
Water leakage reported near market area,water_dept
Very low water pressure in market area,water_dept
Dirty water coming from taps in sector 5,water_dept
Water leakage reported near sector 5,water_dept
Dirty water coming from taps in hospital lane,water_dept
No water supply in the hospital lane area,water_dept
Power outage in railway colony,electricity_dept
Transformer issue reported at main road,electricity_dept
Voltage fluctuation in market area,electricity_dept
Power outage in school road,electricity_dept
Electric pole wire hanging at school road,electricity_dept
High electricity bill complaint from highway point,electricity_dept
High electricity bill complaint from market area,electricity_dept
Power outage in residential block A,electricity_dept
Electricity cut since morning in highway point,electricity_dept
Meter malfunction reported in green park,electricity_dept
Electricity cut since morning in residential block A,electricity_dept
Short circuit incident near sector 5,electricity_dept
Short circuit incident near main road,electricity_dept
High electricity bill complaint from green park,electricity_dept
Meter malfunction reported in bus stop,electricity_dept
Voltage fluctuation in railway colony,electricity_dept
Voltage fluctuation in railway colony,electricity_dept
Streetlight not working near school road,electricity_dept
Transformer issue reported at bus stop,electricity_dept
Electricity cut since morning in sector 5,electricity_dept
Transformer issue reported at highway point,electricity_dept
Electric pole wire hanging at main road,electricity_dept
Electric pole wire hanging at highway point,electricity_dept
High electricity bill complaint from school road,electricity_dept
Frequent power tripping in market area,electricity_dept
Electric pole wire hanging at market area,electricity_dept
Power outage in bus stop,electricity_dept
Short circuit incident near highway point,electricity_dept
Voltage fluctuation in railway colony,electricity_dept
Transformer issue reported at hospital lane,electricity_dept
Electric pole wire hanging at hospital lane,electricity_dept
Frequent power tripping in main road,electricity_dept
Streetlight not working near school road,electricity_dept
Power outage in bus stop,electricity_dept
Streetlight not working near green park,electricity_dept
Frequent power tripping in hospital lane,electricity_dept
Voltage fluctuation in market area,electricity_dept
Voltage fluctuation in green park,electricity_dept
Transformer issue reported at residential block A,electricity_dept
Meter malfunction reported in school road,electricity_dept
Meter malfunction reported in railway colony,electricity_dept
Short circuit incident near main road,electricity_dept
Meter malfunction reported in main road,electricity_dept
Electricity cut since morning in hospital lane,electricity_dept
Short circuit incident near highway point,electricity_dept
Frequent power tripping in highway point,electricity_dept
High electricity bill complaint from highway point,electricity_dept
Transformer issue reported at residential block A,electricity_dept
Electricity cut since morning in highway point,electricity_dept
High electricity bill complaint from highway point,electricity_dept
Electricity cut since morning in railway colony,electricity_dept
Streetlight not working near highway point,electricity_dept
High electricity bill complaint from green park,electricity_dept
Voltage fluctuation in sector 5,electricity_dept
Electric pole wire hanging at main road,electricity_dept
Frequent power tripping in main road,electricity_dept
Power outage in hospital lane,electricity_dept
Power outage in market area,electricity_dept
Streetlight not working near highway point,electricity_dept
Streetlight not working near main road,electricity_dept
Transformer issue reported at market area,electricity_dept
Transformer issue reported at green park,electricity_dept
Frequent power tripping in bus stop,electricity_dept
Electricity cut since morning in highway point,electricity_dept
Transformer issue reported at sector 5,electricity_dept
Frequent power tripping in main road,electricity_dept
Short circuit incident near hospital lane,electricity_dept
Meter malfunction reported in railway colony,electricity_dept
Frequent power tripping in sector 5,electricity_dept
Voltage fluctuation in railway colony,electricity_dept
Meter malfunction reported in highway point,electricity_dept
Power outage in hospital lane,electricity_dept
Electricity cut since morning in green park,electricity_dept
Streetlight not working near green park,electricity_dept
High electricity bill complaint from bus stop,electricity_dept
Short circuit incident near bus stop,electricity_dept
